name,source,assaytype,SHAP,description,value,pred,influence,smiles,SHAP contribution to Toxicity,compound
5,Animal hepatotoxicity A,Animal hepatotoxicity,-0.0022790075541046137,"Rat, chronic oral administration, Hepatic histopathologic effects, ToxRefDB",0.23471367869745824,False,,CC(C=CC=C(C)C=CC1C(C)C(=O)C(=O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)C(=O)C(=O)CC1(C)C,Negative,Astaxanthin
6,Animal hepatotoxicity B,Animal hepatotoxicity,-0.0005954339231709574,"Hepatocellular hypertrophy, rats, ORAD, HESS",0.48750563482703996,False,,CC(C=CC=C(C)C=CC1C(C)C(=O)C(=O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)C(=O)C(=O)CC1(C)C,Negative,Astaxanthin
7,Preclinical hepatotoxicity,Animal hepatotoxicity,-0.009747359216917096,"Preclinical hepatotoxicity data from PharmaPendium, Leadscopre, and internal repository with 14- to 28-day rat study data",0.5515006613756612,True,,CC(C=CC=C(C)C=CC1C(C)C(=O)C(=O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)C(=O)C(=O)CC1(C)C,Negative,Astaxanthin
8,Diverse DILI A,Heterogenous Data ,-0.00999745978355812,Large-scale and diverse ddrug induced liver injury dataset,0.13095529478855783,False,,CC(C=CC=C(C)C=CC1C(C)C(=O)C(=O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)C(=O)C(=O)CC1(C)C,Negative,Astaxanthin
11,Diverse DILI C,Heterogenous Data ,-0.008121483500460519,"Transient liver function abnormalities, adverse hepatic effects",0.24476666865818644,False,,CC(C=CC=C(C)C=CC1C(C)C(=O)C(=O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)C(=O)C(=O)CC1(C)C,Negative,Astaxanthin
15,Mitotox,Mechanisms of Liver Toxicity,-0.0002708649896137208,Mitotox ,0.09268067143876794,False,,CC(C=CC=C(C)C=CC1C(C)C(=O)C(=O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)C(=O)C(=O)CC1(C)C,Negative,Astaxanthin
3,Human hepatotoxicity,Human hepatotoxicity,0.009533956720175193,"Human hepatotoxicity, hepatobiallry",0.7939329313777393,True,,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,Positive,Enzalutamide
5,Animal hepatotoxicity A,Animal hepatotoxicity,0.001900354994129674,"Rat, chronic oral administration, Hepatic histopathologic effects, ToxRefDB",0.4548960755519103,False,,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,Positive,Enzalutamide
6,Animal hepatotoxicity B,Animal hepatotoxicity,0.0019847718191133936,"Hepatocellular hypertrophy, rats, ORAD, HESS",0.60567492150782,True,,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,Positive,Enzalutamide
7,Preclinical hepatotoxicity,Animal hepatotoxicity,0.011279536509545171,"Preclinical hepatotoxicity data from PharmaPendium, Leadscopre, and internal repository with 14- to 28-day rat study data",0.9284093915343916,True,,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,Positive,Enzalutamide
8,Diverse DILI A,Heterogenous Data ,0.003293846297142223,Large-scale and diverse ddrug induced liver injury dataset,0.5124438224536827,True,,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,Positive,Enzalutamide
11,Diverse DILI C,Heterogenous Data ,0.004136881585699114,"Transient liver function abnormalities, adverse hepatic effects",0.6062634225377876,True,,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,Positive,Enzalutamide
14,BESP,Mechanisms of Liver Toxicity,0.0004667035161746732,BESP Bile Salt Export Pump Inhibition,0.7296302910052913,True,,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,Positive,Enzalutamide
15,Mitotox,Mechanisms of Liver Toxicity,0.0067863186738298335,Mitotox ,0.5763679000584072,True,,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,Positive,Enzalutamide
16,Reactive Metabolite,Mechanisms of Liver Toxicity,0.000505907188791403,Reactive Metabolite Formation,0.10441617416604389,False,,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,Positive,Enzalutamide
3,Human hepatotoxicity,Human hepatotoxicity,0.010478721372000536,"Human hepatotoxicity, hepatobiallry",0.8186385771801938,True,,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)N=c1o[nH]c(C)c1Cl)OCO2,Positive,Sitaxentan
5,Animal hepatotoxicity A,Animal hepatotoxicity,0.001937301128310978,"Rat, chronic oral administration, Hepatic histopathologic effects, ToxRefDB",0.4792606132950353,False,,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)N=c1o[nH]c(C)c1Cl)OCO2,Positive,Sitaxentan
6,Animal hepatotoxicity B,Animal hepatotoxicity,0.001724236427440257,"Hepatocellular hypertrophy, rats, ORAD, HESS",0.5767360242487165,True,,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)N=c1o[nH]c(C)c1Cl)OCO2,Positive,Sitaxentan
7,Preclinical hepatotoxicity,Animal hepatotoxicity,0.011704685994241598,"Preclinical hepatotoxicity data from PharmaPendium, Leadscopre, and internal repository with 14- to 28-day rat study data",0.9440950571528407,True,,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)N=c1o[nH]c(C)c1Cl)OCO2,Positive,Sitaxentan
8,Diverse DILI A,Heterogenous Data ,0.0021524304239426213,Large-scale and diverse ddrug induced liver injury dataset,0.6759831570194094,True,,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)N=c1o[nH]c(C)c1Cl)OCO2,Positive,Sitaxentan
11,Diverse DILI C,Heterogenous Data ,0.004484051724584317,"Transient liver function abnormalities, adverse hepatic effects",0.6103397087980481,True,,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)N=c1o[nH]c(C)c1Cl)OCO2,Positive,Sitaxentan
14,BESP,Mechanisms of Liver Toxicity,0.00011587266836897086,BESP Bile Salt Export Pump Inhibition,0.9340839947089946,True,,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)N=c1o[nH]c(C)c1Cl)OCO2,Positive,Sitaxentan
15,Mitotox,Mechanisms of Liver Toxicity,0.00588978803835795,Mitotox ,0.2950874585737606,False,,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)N=c1o[nH]c(C)c1Cl)OCO2,Positive,Sitaxentan
16,Reactive Metabolite,Mechanisms of Liver Toxicity,0.0005333841869634942,Reactive Metabolite Formation,0.11095919151969769,False,,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)N=c1o[nH]c(C)c1Cl)OCO2,Positive,Sitaxentan
